127.0.0.1 - - [14/Oct/2017:15:09:27 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:09:31 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 500 4324
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:10:52 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 500 4322
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:12:40 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 500 4322
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:13:23 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 500 4322
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:15:04 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 500 4322
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:16:03 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 500 4705
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:18:38 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 500 4705
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:19:24 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 500 4725
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:19:51 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 500 4721
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:20:23 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 500 4639
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:20:46 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 500 3835
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:23:33 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 200 8364
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:24:03 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [14/Oct/2017:15:24:40 +0530] "GET /JstlTag/SqlDemoTag.jsp HTTP/1.1" 200 8585
