127.0.0.1 - - [22/Nov/2017:15:02:04 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 16115
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/css/bootstrap.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/css/bootstrap-responsive.css HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/img/examples/slide-02.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/img/examples/slide-03.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/img/examples/browser-icon-chrome.png HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/img/examples/slide-01.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/img/examples/browser-icon-firefox.png HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/img/examples/browser-icon-safari.png HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/jquery.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/bootstrap-transition.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/bootstrap-alert.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/bootstrap-modal.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/bootstrap-scrollspy.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/bootstrap-dropdown.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/bootstrap-tab.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/bootstrap-tooltip.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/bootstrap-popover.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/bootstrap-button.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/bootstrap-collapse.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/bootstrap-carousel.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/bootstrap-typeahead.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:07 +0530] "GET /assets/js/holder/holder.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 16113
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/css/bootstrap.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/css/bootstrap-responsive.css HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/img/examples/slide-02.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/img/examples/slide-03.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/img/examples/slide-01.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/img/examples/browser-icon-chrome.png HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/img/examples/browser-icon-firefox.png HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/img/examples/browser-icon-safari.png HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/js/bootstrap-transition.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/js/jquery.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/js/bootstrap-alert.js HTTP/1.1" 404 1050
